sku,year,make,model,body_trim,engine_transmission,id
74101AE010,2016,Toyota,Avalon,"Hybrid Limited, Hybrid XLE Plus, Hybrid XLE Premium, Limited, Touring, XLE, XLE Plus, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40031
74101AE010,2016,Toyota,Camry,"Hybrid LE, Hybrid SE, Hybrid XLE, LE, SE, Special Edition, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40032
74101AE010,2016,Toyota,Corolla,"L, LE, LE Eco, S, Special Edition",1.8L L4 - Gas,40033
74101AE010,2024,Toyota,Corolla,"Hybrid LE, Hybrid Nightshade, Hybrid SE, Hybrid XLE, LE, Nightshade, SE, XSE","1.8L L4 - Electric/Gas, 2.0L L4 - Gas",39961
74101AE010,2024,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid SE, Hybrid Woodland Edition, Hybrid XLE, Hybrid XLE Premium, Hybrid XSE, LE, Limited, TRD Off-Road, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - Gas",46937
74101AE010,2024,Toyota,RAV4 Prime,"SE, XSE",2.5L L4 - Electric/Gas,39962
74101AE010,2024,Toyota,Sequoia,"Capstone, Limited, Platinum, SR5, TRD Pro",3.4L V6 - Electric/Gas,39963
74101AE010,2024,Toyota,Sienna,"LE, Limited, Platinum, Woodland Edition, XLE, XSE",2.5L L4 - Electric/Gas,39964
74101AE010,2024,Toyota,Tundra,"1794 Edition, Capstone, Limited, Platinum, SR, SR5, TRD Pro","3.4L V6 - Electric/Gas, 3.4L V6 - Gas",39965
74101AE010,2023,Toyota,Corolla,"Hybrid LE, Hybrid SE, Hybrid XLE, LE, SE, XSE","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV), 2.0L L4 - Gas",39966
74101AE010,2023,Toyota,Corolla Cross,"Hybrid S, Hybrid SE, Hybrid XSE, L, LE, XLE","2.0L L4 - Electric/Gas, 2.0L L4 - Gas",39967
74101AE010,2023,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid SE, Hybrid Woodland Edition, Hybrid XLE, Hybrid XLE Premium, Hybrid XSE, LE, Limited, TRD Off-Road, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",39968
74101AE010,2023,Toyota,RAV4 Prime,"SE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - PLUG-IN HYBRID EV-GAS (PH",39969
74101AE010,2022,Toyota,Corolla,"Hybrid LE, L, LE, SE, SE Apex, SE Nightshade, XLE, XSE, XSE Apex","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV), 1.8L L4 - Gas, 2.0L L4 - Gas",39974
74101AE010,2022,Toyota,Corolla Cross,"L, LE, XLE",2.0L L4 - Gas,39975
74101AE010,2022,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid SE, Hybrid XLE, Hybrid XLE Premium, Hybrid XSE, LE, Limited, TRD Off-Road, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",39976
74101AE010,2022,Toyota,RAV4 Prime,"SE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - PLUG-IN HYBRID EV-GAS (PH",39977
74101AE010,2022,Toyota,Sienna,"LE, Limited, Platinum, Woodland Edition, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV)",39978
74101AE010,2022,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",39979
74101AE010,2022,Toyota,Tundra,"1794 Edition, Capstone, Limited, Platinum, SR, SR5, TRD Pro","3.4L V6 - Electric/Gas, 3.4L V6 - Gas, 3.5L V6 - Gas, 3.5L V6 - MILD HYBRID EV-GAS (MHEV)",39980
74101AE010,2021,Toyota,C-HR,"LE, Limited, Nightshade, XLE",2.0L L4 - Gas,39981
74101AE010,2021,Toyota,Corolla,"Hybrid LE, L, LE, SE, SE Apex, SE Nightshade, XLE, XSE, XSE Apex","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV), 1.8L L4 - Gas, 2.0L L4 - Gas",39982
74101AE010,2020,Toyota,Sienna,"L, LE, Limited, Limited Premium, SE, SE Premium, XLE, XLE Premium",3.5L V6 - Gas,39993
74101AE010,2020,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",39994
74101AE010,2020,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5, TRD Pro",5.7L V8 - Gas,39995
74101AE010,2019,Toyota,86,"Base, GT, TRD Special Edition",2.0L H4 - Gas,39257
74101AE010,2019,Toyota,C-HR,"LE, Limited, XLE",2.0L L4 - Gas,39996
74101AE010,2019,Toyota,Corolla,"L, LE, LE Eco, SE, XLE, XSE","1.8L L4 - Gas, 2.0L L4 - Gas",39997
74101AE010,2019,Toyota,Prius C,"L, LE","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",39998
74101AE010,2019,Toyota,RAV4,"Adventure, Hybrid LE, Hybrid Limited, Hybrid XLE, Hybrid XSE, LE, Limited, XLE, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",39999
74101AE010,2019,Toyota,Sienna,"L, LE, Limited, Limited Premium, SE, SE Premium, XLE, XLE Premium",3.5L V6 - Gas,40000
74101AE010,2019,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",40001
74101AE010,2019,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5, TRD Pro","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40002
74101AE010,2009,Toyota,Sienna,"CE, LE, XLE",3.5L V6 - Gas,40119
74101AE010,2009,Toyota,Venza,Base,"2.7L L4 - Gas, 3.5L V6 - Gas",40120
74101AE010,2008,Toyota,Camry,"CE, Hybrid, LE, SE, XLE","2.4L L4 - Electric/Gas, 2.4L L4 - FULL HYBRID EV-GAS (FHEV), 2.4L L4 - Gas, 3.5L V6 - Gas",40122
74101AE010,2008,Toyota,FJ Cruiser,"Base, Trail Teams Special Edition",4.0L V6 - Gas,40123
74101AE010,2008,Toyota,Highlander,"Base, Hybrid, Hybrid Limited, Limited, Sport","3.3L V6 - Electric/Gas, 3.3L V6 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40124
74101AE010,2008,Toyota,Prius,"Base, Touring","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40125
74101AE010,2008,Toyota,RAV4,"Base, Limited, Sport","2.4L L4 - Gas, 3.5L V6 - Gas",40126
74101AE010,2008,Toyota,Sienna,"CE, LE, Limited, XLE",3.5L V6 - Gas,40127
74101AE010,2008,Toyota,Solara,"SE, SLE, Sport","2.4L L4 - Gas, 3.3L V6 - Gas",40128
74101AE010,2007,Toyota,Camry,"CE, Hybrid, LE, SE, XLE","2.4L L4 - Electric/Gas, 2.4L L4 - FULL HYBRID EV-GAS (FHEV), 2.4L L4 - Gas, 3.5L V6 - Gas",40129
74101AE010,2016,Toyota,RAV4,"Hybrid Limited, Hybrid XLE, LE, Limited, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",40034
74101AE010,2016,Toyota,Sienna,"L, LE, Limited, SE, XLE",3.5L V6 - Gas,40035
74101AE010,2016,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",40036
74101AE010,2016,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5, TRD Pro","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40037
74101AE010,2016,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40038
74101AE010,2015,Toyota,Avalon,"Hybrid Limited, Hybrid XLE Premium, Hybrid XLE Touring, Limited, XLE, XLE Premium, XLE Touring, XLE Touring SE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40040
74101AE010,2015,Toyota,Camry,"Hybrid LE, Hybrid SE, Hybrid XLE, LE, SE, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",39983
74101AE010,2015,Toyota,Prius,"Five, Four, One, Persona Series, Three, Two","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",46988
